Empfänger-ID;NAME1;NAME2;STRASSE;PLZ;STADT;LAND
590329;IMKERIJ DE TRAAY B.V.;;PLATINASTRAAT 50;8211;AR LELYSTAD;NL
596009;Imme Fachgeschaeft fuer Imker;Franz Blender;Schreinergasse 8;79588;Efringen-Kirchen;DE
594222;INNFOOD ORGANIC GMBH;;Menningerstrasse 1;84570;POLLING;DE
590111-1;Integrations Gesellsch.;;Groppendiek 10;33014;Bad Driburg;DE
592294-1;ISANA NATURFEINKOST GMBH;;GEWERBERING 2;86922;ERESING / AMMERSEE;DE
IWL;IWL- Internationale Wein Log.;;Großer Moorweg 24;25436;Tornesch;DE
591016-1;J. & W. STOLLENWERK OHG;;AM ROSSPFAD 2;52399;MERZENICH-GIRBELSRATH;DE
591016-2;J. & W. STOLLENWERK OHG;;MARSCHSTRASSE 51;25704;MELDORF;DE
594091-25;J.&W. STOLLENWERK OHG;;AM ROSSPFAD 2;52399;MERZENICH-GIRBELSRATH;DE
594035;JAHNKE SUESSWAREN GMBH;;NIKOLAUS-OTTO-STR. 6-8;24568;KALTENKIRCHEN;DE
599283;JAHNKE SUESSWAREN GMBH;;NIKOLAUS-OTTO-STR. 6-8;24568;KALTENKIRCHEN;DE
594041-3;JAHNKE SUESSWAREN GMBH;;NIKOLAUS-OTTO-STRAssE 8;24568;KALTENKIRCHEN;DE
599267;JAKOBSBERGER MILCHHANDWERKER;FRANK BoeHNER;BRUNNENWEG 35;37688;BEVERUNGEN JAKOBSBERG;DE
578031;JAKOBSENS A/S;;BUNTMAGERVEJ 20;7490;AULUM;DK
594079;JOBA GMBH;;MAHLITZSCH 1;1683;NOSSEN;DE
592002-5;JOHANNES-DIAKONIE MOSBACH;WFB WERKSTATT FueR BEHINDERTE;NECKARBURKENER STR. 25;74821;MOSBACH;DE
592294_2;Jooti GmbH;;Hauptstr. 28;82131;Gauting;DE
594067;JUERGEN LANGBEIN GMBH;FEINE KUECHE;FELDSTRASSE 7;24568;KALTENKIRCHEN;DE
591031;JUETRO GMBH & CO. KG;;GEWERBERING 1;14913;JÜTERBOG;DE
592003;KARL KAMINSKI;GMBH & CO.KG;MARIE-CURIE-STR: 1;28816;STUHR 1;DE
590347;KESBEKE FIJNE TAFELZUREN B.;;A. VAN NASSAUSTRAAT 2-8;1055 RP;AMSTERDAM;NL
572050;KOENECKE FLEISCHWARENFABRIK ;;NORDENHAMER STRASSE 141;27751;DELMENHORST;DE
591675;KOHLOSSEUM GMBH;;BAHNHOFSTRASSE 20;25764;WESSELBUREN;DE
598022-1;Lager Reeb;;Kaustr. 21;9108;Gontenbad;CH
592294-6;Landfrau Oekologische;Metzgerei;Untere Au 2;82275;Emmering;DE
590080;LANDKOST KLEMME;REINHOLD KLEMME KG;SCHACHTER STR. 15;34379;CALDEN;DE
594091-22;LANDKOST KONSERVEN;R. KLEMME KG;SCHACHTER STR. 15;34379;CALDEN;DE
592009-1;LCH Logistik Center Hamburg;;Porschestr. 26;21423;Winsen;DE
534253;LEBE GESUND;GMBH & CO. KG;AM JÖSPERSHECKLEIN 3;97828;MARKTHEIDENFELD;DE
599149;LEIBNIZ-INSTITUT;ZUR ANALYSE D. BIODERSITaeTS;MUSEUM DER NATUR HAMBURG;20146;Hamburg;DE
590111-6;LEIFHEIT AG WERK ZUZENHAUSEN;;FRIEDRICH RUSCHITZKA STRASSE 1;74939;ZUZENHAUSEN;DE
594035-1;LK Logistik GmbH;;Sabower Hoehe 14;23923;Schönberg;DE
578003-2;LÜTHI-PORTMANN;;GRAFENBÜHL 89;3673;LINDEN;CH
577010;MAINTAL KONFITUEREN GMBH;;INDUSTRIESTRASSE 11;97437;HAßFURT / MAIN;DE
599409-1;MAMMINGER KONSERVEN;;FALTERHAID 51;94436;SIMBACH;DE
599409;MAMMINGER KONSERVEN GMBH & CO KG;;BENKHAUSER STR. 42;94437;MAMMING;DE
594061;Meierei Horst;;Bahnhofstr. 42-44;25358;Horst;DE
541025;MEIKO KONSERVENFABRIK;FRANZ MEIER GMBH & CO.KG;KELTENSTRASSE 14;94486;OSTERHOFEN-GERGWEIS;DE
599407;MEIKO-KONSERVENFABRIK;;KELTENSTRASSE 14;94486;GERGWEIS-OSTERHOFEN;DE
594050;MEISTERMACHER CONVENIENCE GMBH;;Feldbrügge 16;49434;Neuenkirchen-Vörden;DE
599399;Menzi GmbH;;Bockhorster Landweg 9;33775;Versmold;DE
534103;MOLKEREIGENOSSENSCHAFT;HOHENLOHE-FRANKEN EG;MOLKEREISTRASSE 2;74575;SCHROZBERG;DE
592002-1;MUEHLE GMBH;;Industriestr. 21;63150;Heusenstamm;DE
592002-7;MUEHLE GMBH;;IM BIRKENGRUND 5-7;63179;OBERTSHAUSEN;DE
577008;Muehlhaeuser GmbH;;Boettgerstr. 5;41066;Mönchengladbach;DE
592294-2;MUENCHNER KIND´L SENF GMBH;INDUSTRIEGEBIET HASENHEIDE;LIEBIGSTR. 15;82256;FÜRSTENFELDBRUCK;DE
594081_2;NABA FEINKOST GMBH;;Apfelring 1;99100;Gierstädt/Kleinfahner;DE
538013;NOELLE + VON CAMPE GMBH & CO. KG;;UBER DEN GLEISEN/ALTES FORSTAMT;37691;BOFFZEN;DE
590008-1;NOELLE + VON CAMPE GMBH & CO. KG;;UBER DEN GLEISEN/ALTES FORSTAMT;37691;BOFFZEN;DE
563920;NORDEX FOOD A/S;;BREDGADE 67;9610;NORAGER;DK
594040;OEKODORF BRODOWIN;MEIEREI GMBH & CO;WEIENSEE 1;16230;CHORIN;DE
578021_2;Oetjen Logistik;;Hermann-Schlüter-Str. 1;27356;Rotenburg (Wümme);DE
577005-1;Offergeld Logistik GmbH & C;Industriestr. 27;fuer Zentis;52457;Aldenhoven;DE
594091-33;OKECHAMP S.A.;;UL. FABRYCZNA 7;62-065;GRODZISK WLKP.;PL
590062_1;Ölmühle Moog GmbH;;Industriestr. 24/26;01640;Coswig;DE
590349-1;Opslag Rabelink scan;;Fabriekstraat 40;7005 AR;Doetinchem;NL
597122;OTTIGER SPEZIALITÄTEN AG;;ABTWILSTRASSE 14;6275;BALLWIL;CH
590127-1;PETER SPAK GMBH;;OZENASTRASSE 1;2463;GALLBRUNN;AT
574102;PETERSILCHEN GMBH;;AM PIEPENBRINK 2;32839;STEINHEIM;DE
590112;PRETSCH VON LERCHENHORST GMBH;VERTRETUNGEN;LAND-AU 102;94469;DEGGENDORF;DE
534048;RAPUNZEL NATURKOST GMBH & CO. KG;;RAPUNZELSTRASSE 1;87764;Legau;DE
594106;Regio Molkerei beider Basel;AG;Flachsacherstr. 100;4402;Frenkendorf;CH
534101;REICHOLD FEINKOST GMBH;;IM MAISEL 6;65232;TAUNUSSTEIN;DE
594099;REITZEL (SUISSE) SA;;ROUTE D'OLLON 14-16;1860;AIGLE;CH
574115;RILA FEINKOST-IMPORTE;GMBH & CO.KG;HINTERM TEICH 5;32351;STEMWEDE-LEVERN;DE
592026;RIXIUS AG;;OTTO-HAHN-STRAssE 19;68169;MANNHEIM;DE
599321;RIZZOLI EMANUELLI S.p.A.;;VIA EMILIO SEGRÉ N. 3/A;43122;PARMA;IT
525002;ROYAL GREENLAND GERMANY;GMBH;SCHLEUSENSTR. 2;27472;CUXHAVEN;DE
594074;RUECKER GMBH;;EGELSER STR. 111;26605;AURICH;DE
598013;RUEDIGER FELDT;;LINDENALLEE 5;22964;STEINBURG;DE
563924;SCANDIC FOOD A/S;SUPPLIER 4931;STORE GRUNDET ALLÉ;7100;VEJLE;DK
563924-1;SCANDIC FOOD A/S;;INDUSTRIVEJ 3;9830;TÂRS;DK
563924-2;SCANDIC FOOD A/S;;RONNEVEJ 24;5580;NORRE AABY;DK
594056;Scandic Food Sp. Z.o.o;;Ul. Spacerowa 22;27-300;Lipsko;PL
524038;SCHAMEL MEERRETTICH GMBH & CO. KG;;JOHANN-JAKOB-SCHAMEL-PLATZ 1;91083;BAIERSDORF;DE
573802;SCHWAANER FISCHWAREN GMBH;Lief.Nr.72505;NIENDORFER CHAUSSEE 2;18258;SCHWAAN;DE
573802-02;SCHWAANER FISCHWAREN GMBH;BETRIEBSSTaeTTE STRALSUND;CARL-HEIDEMANN-RING 91;18437;STRALSUND;DE
594091-34;SCHWEIZER SAUERKONSERVEN;;RASENWEG 2;99991;GROßENGOTTERN;DE
578010-2;SONNENTRACHT GMBH;;AUF DEM DREIECK 1;28197;BREMEN;DE
594067-1;SPEDITION HAHN & REHER;GMBH & CO. KG;INDUSTRIESTR. 17B;23829;Wittenborn;DE
Hennenkaemper;Spedition Hennenkaemper GmbH;;Korzerter Str 73;42349;Wuppertal;DE
594091-13;SPREEWALDKONSERVEN GOLSSEN;;BAHNHOFSTRASSE;15938;GOLßEN;DE
594091-31;STANGL GMBH & CO. KG;;GMEINBAUER 56;94436;SIMBACH;DE
590108;STREHK;;AM WASSERWERK 1;18239;KLEIN BÖLKOW;DE
577009-1;STUTE NAHRUNGSMITTELWERKE GMBH & CO. KG;;BRESLAUER STRASSE 34, TOR 3;33098;Paderborn;DE
594092;SWEET TEC GMBH;;LINDHORST 4;19258;BOIZENBURG;DE
594092-1;SWEET TEC GMBH;;GÜLZER STR. 30;19258;BOIZENBURG;DE
590212;SWEMA GMBH;;ZERPENSCHLEUSER RING 30;13439;Berlin;DE
594091-11;SZENTES-FRIGO KFT.;MR. SAMU;ATTILA ÚT. 3;6600;KFT.SZENTES;HU
TKM;TKM;;HEINRICH-HERTZ-STR. 17;22941;Bargteheide;DE
594053;TOFUTOWN LUENEBURGER HEIDE GMBH;;LUENER RENNBAHN 9;21339;LÜNEBURG;DE
599293;Trend Meal;Food Service GmbH & Co. KG;Klaus-Conrad-Strasse 13;92533;Wernberg-Köblitz;DE
524039;TRESS LEBENSMITTEL GMBH;& CO KG;Steinhecke 1;88529;Zwiefalten-Gauingen;DE
578021;TUCHEL & SOHN GMBH;;HERMANN-BUCK-WEG 6;22309;HAMBURG;DE
597123;UNIVERRE PRO UVA AG;;IM LANGHAG 19A;8307;EFFRETIKON;CH
594104;Uplaender Bauenrmolkerei;GmbH;Milchstr. 1;34508;Willingen;DE
578010-3;UPLÄNDER FEINKOST GMBH;;AUF DER HÖHE 7;34508;Willingen (Upland);DE
575400;VALENZI GMBH & CO.KG;;INDUSTRIE STR. 7;29554;SUDERBURG;DE
594054;VITAM HEFE-PRODUKT GMBH;;WALTER-VON-SELVE-STR. 2;31789;HAMELN;DE
574104;Voelkel GmbH;Aussenlager Seehausen;Arendseer Str. 21A;39615;Seehausen;DE
590116;VOLKER EICKE;;ROLLOH NR. 3;25582;HOHENASPE;DE
571404;VORWERK PODEMUS;;PODEMUSER RING 1;1156;DRESDEN;DE
599312;wageswiese GmbH;;Kartaeuserstrasse 60;79115;FREIBURG;DE
